10	23	23	23	23	23	23	23	23	23	23	23	23	11	23	23	23	23	23	23	23	23	23	23	23	23	12
20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20
20	-1	1	2	2	3	-1	1	2	2	2	3	-1	20	-1	1	2	2	2	3	-1	1	2	2	3	-1	20
20	-1	4	-1	-1	6	-1	4	-1	-1	-1	6	-1	20	-1	4	-1	-1	-1	6	-1	4	-1	-1	6	-1	20
20	-1	7	8	8	9	-1	7	8	8	8	9	-1	21	-1	7	8	8	8	9	-1	7	8	8	9	-1	20
20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20
20	-1	22	23	23	24	-1	19	-1	22	23	23	23	11	23	23	23	24	-1	19	-1	22	23	23	24	-1	20
20	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	20
16	23	23	23	23	12	-1	13	23	23	23	24	-1	21	-1	22	23	23	23	15	-1	10	23	23	23	23	18
-1	-1	-1	-1	-1	20	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	20	-1	-1	-1	-1	-1
23	23	23	23	23	18	-1	21	-1	1	2	2	2	-1	2	2	2	3	-1	21	-1	16	23	23	23	23	23
-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1
23	23	23	23	23	12	-1	19	-1	7	8	8	8	8	8	8	8	9	-1	19	-1	10	23	23	23	23	23
-1	-1	-1	-1	-1	20	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	20	-1	-1	-1	-1	-1
10	23	23	23	23	18	-1	21	-1	22	23	23	23	11	23	23	23	24	-1	21	-1	16	23	23	23	23	12
20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20
20	-1	22	23	23	12	-1	22	23	23	23	24	-1	21	-1	22	23	23	23	24	-1	10	23	23	24	-1	20
20	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	20
13	23	23	24	-1	21	-1	19	-1	22	23	23	23	11	23	23	23	24	-1	19	-1	21	-1	22	23	23	15
20	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	20
20	-1	22	23	23	23	23	17	23	23	23	24	-1	21	-1	22	23	23	23	17	23	23	23	23	24	-1	20
20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20
16	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	18
